;AAPL;MSFT;GOOGL
Ticker;AAPL;MSFT;GOOGL
Date;;;
2021/01/04;100.0;100.0;100.0
2021/01/05;101.23635823277408;100.09644967070545;100.80642593824093
2021/01/06;97.82858920648167;97.50102898849246;99.81171952576655
2021/01/07;101.16680846872295;100.27562673510792;102.79294857075982
2021/01/08;102.04002557156353;100.8865815890353;104.15380234605367
2021/01/11;99.66769794334783;99.90812928251522;101.7472502709222
2021/01/12;99.52860446568175;98.73214764207606;100.65464192472231
2021/01/13;101.14361714679096;99.37984349167057;101.22354740262409
2021/01/14;99.61362519508118;97.8547677074428;100.27749404486966
2021/01/15;98.24586963947992;97.68479958876917;100.08631448530653
2021/01/19;98.77906432908468;99.4258080157201;103.37982659912568
2021/01/20;102.02457275752381;103.05481072627083;108.91821786999753
2021/01/21;105.76460148741502;103.34421806900147;109.15458225336477
2021/01/22;107.46461674661512;103.79440645865728;109.64179755384784
2021/01/25;110.43968882848671;105.4389360495956;109.74144249593105
2021/01/26;110.62514679870816;106.7251625510165;110.53339079332314
2021/01/27;109.77509681605476;106.98700867850171;105.376762817292
2021/01/28;105.93459454272435;109.75699830658937;107.36156912015251
2021/01/29;101.9704576562038;106.55521630632323;105.86455615626105
2021/02/01;103.65504430310895;110.08774018086136;109.6713486598311
2021/02/02;104.31185545459529;110.0234379699488;111.18050932482792
2021/02/03;103.50047986009456;111.62663302934577;119.27722779145012
2021/02/04;106.16642305593737;111.17185839514252;118.97308172592686
2021/02/05;105.83750924355388;111.25912828542627;121.01232146836716
2021/02/08;105.95361711411861;111.3831683366843;120.76263552112303
2021/02/09;105.2571030003266;111.98034258298897;120.23371252065154
2021/02/10;104.77730341013473;111.54394938360946;120.87617117266933
2021/02/11;104.57609010406388;112.31109174858776;121.00767937467975
2021/02/12;104.76182639435025;112.54077583362651;121.3715056906555
2021/02/16;103.07472276598837;111.9481878318693;122.27931957933737
2021/02/17;101.25608265476683;112.43624008151703;122.73815763660873
2021/02/18;100.38159496032549;112.24746763106617;121.99602736380835
2021/02/19;100.50539293529287;110.94905732258835;121.01116539139521
2021/02/22;97.51043912008748;107.97469180473098;119.00957818664169
2021/02/23;97.4020939591598;107.40377362617733;119.34906463590778
2021/02/24;97.0073998044741;107.99313157016898;120.72148807382104
2021/02/25;93.6332470016761;105.43314673612872;116.79016829457125
2021/02/26;93.84219276520302;106.99400835221485;117.13543512869715
2021/03/01;98.89572278934305;109.09353860848674;119.90174946460297
2021/03/02;96.82942622382475;107.6800347067155;119.6016407755818
2021/03/03;94.46129154789156;104.77473992748776;116.52714299765069
2021/03/04;92.96768691945309;104.39257961673141;117.83179364630767
2021/03/05;93.96600284104282;106.63486676011718;121.48968343588922
2021/03/08;90.05011213273399;104.69646753445608;116.3006141614449
2021/03/09;93.71061997972619;107.63859809659915;118.20429943247292
2021/03/10;92.85163350281412;107.01241166101893;117.96271491693231
2021/03/11;94.38391251940527;109.18101265592045;121.69071632841337
2021/03/12;93.6641949828089;108.54563185726498;118.76278243182747
2021/03/15;95.95492037807482;108.1128551559706;119.0200006651889
2021/03/16;97.17767117984837;109.44807937338337;120.72613016750844
2021/03/17;96.550815737959;109.1395760458041;120.62938431075492
2021/03/18;93.27725143688784;106.22968773070214;117.10242468469778
2021/03/19;92.85934780896159;106.05932588038213;117.42800263870123
2021/03/22;95.49056755148649;108.65613920601096;117.64410899635978
2021/03/23;94.8327883302091;109.38821758048259;118.26050255910978
2021/03/24;92.93673288788409;108.41212766384068;117.75069929317455
2021/03/25;93.32368248424133;106.9755831694304;117.74662634507334
2021/03/26;93.80348207443319;108.88174014805038;117.29880659063474
2021/03/29;93.94281151911085;108.31082196949673;118.51887686944316
2021/03/30;92.78968913705896;106.74997493606418;118.55828130838744
2021/03/31;94.53096232066657;108.55483351166704;119.4881051240355
2021/04/01;95.18876574368876;111.58444541257062;123.38468034382797
2021/04/05;97.4330479907288;114.6785272249028;128.55115275992034
2021/04/06;97.67295383626092;114.121418819279;127.98918374385033
2021/04/07;98.9808403257216;115.060658370352;129.71387272801974
2021/04/08;100.8845979733217;116.60308751232691;130.37431282340143
2021/04/09;102.92769716647183;117.80021400044112;131.54686833866225
2021/04/12;101.56563507132921;117.82784083762763;130.03771656656522
2021/04/13;104.03434614811687;119.0157219233791;130.60603511308122
2021/04/14;102.17701954787026;117.68049041463952;129.8807124208732
2021/04/15;104.08852175379879;119.4807773283485;132.39153374597575
2021/04/16;103.82537618284515;120.05169550690215;132.24669508718864
2021/04/19;104.35164312300766;119.13083739065289;132.65280714163882
2021/04/20;103.01280260197798;118.90982998448769;132.03002847684368
2021/04/21;103.3146225610843;119.97803123239828;131.99178900777116
2021/04/22;102.10735482553144;118.40799712721726;130.49538076106504
2021/04/23;103.94921651086592;120.24046795735303;133.2419973239486
2021/04/26;104.25879312917306;120.42463958060287;133.8213252803976
2021/04/27;104.00340421742025;120.61803473223513;132.7234968020243
2021/04/28;103.3765427250947;117.20626252057522;136.6664218154926
2021/04/29;103.29916974704459;116.26240026832082;138.61991621821255
2021/04/30;101.73590644670347;116.11043443547813;136.345468169377
2021/05/03;102.57166529906641;115.96312046912396;135.7417914533186
2021/05/04;98.94214173582417;114.08916928091114;133.6417331692534
2021/05/05;99.13562258443898;113.48140073678856;134.10171841059693
2021/05/06;100.40481048400223;114.98240055997391;135.40985507596938
2021/05/07;100.93969324530514;116.23936696700856;136.25451159038306
2021/05/10;98.33498651418276;113.80830737317194;132.76809469444265
2021/05/11;97.60631433201914;113.37090067936937;131.51152795491942
2021/05/12;95.17214519546357;110.04202356192249;127.46722388390994
2021/05/13;96.87761189767454;111.89752040204375;129.1351228100567
2021/05/14;98.80011379660394;114.25493759535688;131.9935231232291
2021/05/17;97.88537860059945;112.88744925692266;132.60415408691887
2021/05/18;96.78457434031792;111.92056828600958;131.0718096321843
2021/05/19;96.66053434790274;112.1974710033048;131.59496114069583
2021/05/20;98.69158712259043;113.74806643127833;133.64868741688474
2021/05/21;97.23419435477362;113.14351336226775;132.9059791055984
2021/05/24;98.52880618722446;115.73246663762289;136.7822874067824
2021/05/25;98.37375165887833;116.16627141599389;136.8882996651112
2021/05/26;98.33498651418276;116.0601461546454;137.89865758120595
2021/05/27;97.11792917286786;115.05406701093881;136.87729914807798
2021/05/28;96.59854157865803;115.22482259290518;136.53953792137006
2021/06/01;96.34271098506305;114.1726258072866;137.94905364428365
2021/06/02;96.94736737655629;114.12648629139423;137.33555027396355
2021/06/03;95.76908123037315;113.3927236204354;136.00249570339545
2021/06/04;97.59078891274508;115.73708933880427;138.66684405037438
2021/06/07;97.59854557194592;117.13080457968235;139.17260104690774
2021/06/08;98.24970561602697;116.55852292302;138.94897129603166
2021/06/09;98.55204591264598;117.02925827155453;139.49934397078292
2021/06/10;97.76133860818427;118.71367142000413;141.07454330957802
2021/06/11;98.72259560808517;119.01366576922585;140.78893894010506
2021/06/14;101.14898993413132;119.93664566156943;141.87286781611544
2021/06/15;100.4977935874331;119.2305535757578;140.68407386584846
2021/06/16;100.89317749184492;118.77830903194877;139.93442019983058
2021/06/17;102.16450724582087;120.40277289157615;141.05947873734343
2021/06/18;101.13350686791063;119.72435139091174;139.16796784612012
2021/06/21;102.5598911502327;121.20112942651893;141.13943479930415
2021/06/22;103.8622354401396;122.53025080341307;141.73960771284754
2021/06/23;103.64518209211258;122.41946638424928;141.5038302608661
2021/06/24;103.42035998401234;123.07478167033359;141.93600740458407
2021/06/25;103.18778121671126;122.30410301186481;141.9458607375451
2021/06/28;104.4823930491621;124.01160050091416;141.97772399747228
2021/06/29;105.68396127382012;125.24838451540931;141.6724129620773
2021/06/30;106.17236458427996;125.01765777064038;141.46037065962017
2021/07/01;106.41267580903711;125.34070729515474;141.87170284624372
2021/07/02;108.49797074420486;128.13270214747803;145.13101286749242
2021/07/06;110.09488657065754;128.13735401396653;146.2114735125869
2021/07/07;112.07168508399276;129.1849135157502;146.54051969750623
2021/07/08;111.04061815128439;128.02656959480274;144.88363907419222
2021/07/09;112.49024215902796;128.26652715928086;145.43341592465794
2021/07/12;112.01738846958693;127.98044466156395;147.12159955521273
2021/07/13;112.90115148271384;129.66945134588778;147.5456663743274
2021/07/14;115.6221052444334;130.37552884904585;148.58324545666198
2021/07/15;115.10272370065975;129.69256485179469;147.15577496908384
2021/07/16;113.48253789660458;129.5633187932125;147.1152144531676
2021/07/19;110.4282172014627;127.83734508209123;144.34370666378774
2021/07/20;113.2964990845085;128.9034245539075;146.23407037093884
2021/07/21;112.71508846887299;129.86326939447355;147.78609481289607
2021/07/22;113.80035520900809;132.05076950840052;148.79700408877747
2021/07/23;115.16472857077684;133.67981232124856;154.1193245735899
2021/07/26;115.49808340332679;133.39370065822453;155.30117316912535
2021/07/27;113.77710943315036;132.2353421546235;152.82741745032382
2021/07/28;112.38947819465149;132.08766362193012;157.68685360846305
2021/07/29;112.90115148271384;132.21689509785872;157.3201282071576
2021/07/30;113.07167697640826;131.4831251355731;156.1023700822931
2021/08/02;112.80810787492103;131.44156457290143;156.25068586489584
2021/08/03;114.23448610680688;132.5029921782292;157.14924224490227
2021/08/04;113.91663249178623;132.22153238169366;156.56469415627993
2021/08/05;114.0019194403782;133.61058846475646;157.86933591203714
2021/08/06;113.45848136229687;133.58289600562892;157.2749522762533
2021/08/09;113.41964966280314;133.0614057313474;158.63577937284782
2021/08/10;113.0392345375355;132.1891880560776;158.51298621262603
2021/08/11;113.24108918984297;132.42456666733503;157.9012080648641
2021/08/12;115.59347458036294;133.7444134765593;158.9613840055506
2021/08/13;115.75650963404904;135.14736682847337;159.57952946955808
2021/08/16;117.32479479643125;135.95495418312532;160.25386027440288
2021/08/17;116.60277204364495;135.25349938114863;158.34439461851505
2021/08/18;113.6292851760562;134.42587546049285;156.93951209638908
2021/08/19;113.89322940458746;137.21857028018746;157.20717059409728
2021/08/20;115.05002440140916;140.72798794014548;159.23421817093327
2021/08/23;116.23010147670576;140.86209002236615;162.26066761132978
2021/08/24;116.16023103953634;139.9234337774359;163.67422960364524
2021/08/25;115.18202071741959;139.64141984006474;164.62143014547183
2021/08/26;114.54539382107673;138.29129944203123;163.8816475982145
